mob_arce_id,geo_point_2d,mob_arce_nb,mob_arce_typ,mob_arce_datecre
1039,"45.181376124248,5.71562326550035",3,"nouveau modèle",20120101000000
1040,"45.1858261080198,5.71397538498867",2,"nouveau modèle",20120101000000
1041,"45.1950980123252,5.71164371683986",10,"nouveau modèle",20120101000000
1042,"45.1948796213283,5.71041750512461",10,"nouveau modèle",20120101000000
1043,"45.1926026495208,5.71211934132128",2,"nouveau modèle",20120101000000
1044,"45.1925117796757,5.71215745047115",2,"nouveau modèle",20120101000000
1045,"45.1847316298941,5.71534061574529",3,"nouveau modèle",20120101000000
1046,"45.1809351444851,5.71535500393667",3,"nouveau modèle",20120101000000
1047,"45.1852765290752,5.70633443488858",2,"nouveau modèle",20120101000000
1048,"45.1724573541757,5.70750505026961",3,"nouveau modèle",20110101000000
1049,"45.1724672894291,5.7072743311029",6,"nouveau modèle",20110101000000
1050,"45.1724787199076,5.7069803431577",3,"nouveau modèle",20110101000000
1051,"45.1725813795034,5.70652281558178",5,"nouveau modèle",20110101000000
1052,"45.1685781248673,5.71361985685354",4,"nouveau modèle",20110101000000
1053,"45.1771166557111,5.71096248500053",2,"nouveau modèle",20110101000000
1054,"45.1679609821504,5.7120012082876",2,"nouveau modèle",20110101000000
1055,"45.1799935772306,5.71310648714489",4,"nouveau modèle",20100101000000
1056,"45.1780905696803,5.71021590467196",2,"nouveau modèle",20120101000000
1057,"45.1904715177976,5.73295064643552",3,"nouveau modèle",20110101000000
1058,"45.1887165899208,5.73726100760282",2,"nouveau modèle",19900101000000
1059,"45.1884840147958,5.72968621446692",2,"nouveau modèle",19900101000000
1060,"45.1895455549923,5.73434106191839",4,"nouveau modèle",19900101000000
1061,"45.1903110240388,5.7365964396208",4,"nouveau modèle",20100101000000
1062,"45.1882112782195,5.71697971289919",4,"nouveau modèle",20110101000000
1063,"45.1868892361076,5.71716154752189",4,"nouveau modèle",20120101000000
1064,"45.18709693214,5.71648901053955",2,"nouveau modèle",20120101000000
1065,"45.1860900815192,5.71642996113765",3,"nouveau modèle",20110101000000
1066,"45.1880467155176,5.71976077770847",2,"nouveau modèle",20120101000000
1067,"45.1843342196577,5.72378885408765",3,"nouveau modèle",20100101000000
1068,"45.1851773217979,5.72234019969713",5,"nouveau modèle",20110101000000
1069,"45.1879639874663,5.72550901396431",2,"nouveau modèle",19990101000000
1070,"45.1879366593089,5.7251205204688",4,"nouveau modèle",19900101000000
1071,"45.1877398251162,5.72417097677525",3,"nouveau modèle",19900101000000
